date,close,cash,shares_held,portfolio_value,action,reward
2024-12-10,245.8771515,57234.372342210925,229.08994122639783,113562.35452826004,1,0.4715811147957605
2024-12-11,246.8935547,57013.80466615161,229.98242029090125,113794.98193028163,1,0.5314361946535389
2024-12-12,245.6180725,56603.74282956244,231.65026248278542,113501.23379470326,1,-1.2005034890628827
2024-12-13,247.0828857,57089.45506118982,229.68250810481624,113840.07195854146,1,0.654522050086257
2024-12-16,247.2522736,56958.81090334113,230.21036429923745,113878.84688261186,1,0.11155451688076874
2024-12-17,250.1519623,57606.31368235737,227.6193355342147,114545.7371236633,1,0.7027937891834654
2024-12-18,252.5833435,57826.07795075338,226.74839824436663,115098.94651258504,1,0.74506971890672
2024-12-19,247.1725616,56321.08363639436,232.83115603027568,113870.55689268689,1,-10.996618194303457
2024-12-20,248.9064026,57337.95276373179,228.74171918285336,114273.23121007523,1,0.6114957381594026
2024-12-23,253.589798,58207.033569689964,225.31117598444405,115343.64917472759,1,1.0229458558685245
2024-12-24,254.3670349,57846.58465849893,226.72680290524465,115518.40924586271,1,0.30285095468832596
2024-12-26,257.2866821,58420.592315958915,224.49356551025053,116179.79693889027,1,0.7930172196827573
2024-12-27,258.1037292,58273.17301408409,225.06415792401168,116363.07148352923,1,0.3549845866447019
2024-12-30,254.6858826,57411.44010278291,228.4442904640393,115592.97584454753,1,-2.8745583612349654
2024-12-31,251.3078766,57024.415100056125,229.98279522399088,114820.90302232989,1,-1.8919476574268994
2025-01-02,249.5341797,57002.50985686299,230.07049206720333,114412.96136802793,1,-0.7113567747949004
2025-01-03,242.9874268,55698.96377903458,235.4297974894805,112905.44446304855,1,-2.767469026651105
2025-01-06,242.4991608,56337.13105993628,232.79553646819994,112789.85329146056,1,-0.15811632032370398
2025-01-07,244.1333466,56774.9195789842,231.00050620340073,113169.84622471448,1,0.6166945784798349
2025-01-08,241.3532257,55941.88157134875,234.4485885707275,112526.804683706,1,-0.8649724815745554
2025-01-10,241.8414612,56377.43247882374,232.64580879836745,112640.83482067674,1,0.18456240498621715
2025-01-13,236.0121765,54962.8455828687,238.6335241069156,111283.26299320707,1,-1.4493147027977378
2025-01-14,233.5708466,55058.95213630277,238.22164583704313,110700.58363290629,1,-0.6957014709783409
2025-01-15,232.4548035,55084.40071829003,238.11205870156667,110434.69253474317,1,-0.39640675127128766
2025-01-16,237.0285492,56305.18826242234,232.9565212871479,111522.53452979392,1,3.226321694050022
2025-01-17,227.4525604,53527.703516128015,245.15559273913965,109288.97078102498,1,-1.5276012163218426
2025-01-21,229.1664734,55063.12379069899,238.44886461700247,109707.60918121149,1,0.5887450298782388
2025-01-22,221.8524323,53107.8264505525,247.25356410079686,107961.63104115825,1,-1.0278557403152286
2025-01-23,223.0382233,54272.840391486716,242.02495304121769,108253.65591206585,1,0.4002542045196465
2025-01-24,222.8688507,54085.64855564043,242.86403320171527,108212.47651167336,1,-0.04925575492392511
2025-01-27,221.9919434,53893.076632671226,243.73063917164066,107999.3148885079,1,-0.24902146592168764
2025-01-28,229.0468903,55717.338073984094,235.75809029114748,109716.99551823805,1,3.760481799721166
2025-01-29,237.4171906,56830.7492473114,231.063713712056,111689.24700643044,1,2.3074333835362553
2025-01-30,238.5133057,56097.163075558645,234.13630254010278,111941.78657877387,1,0.21425096921621958
2025-01-31,236.7495422,55557.39299409112,236.4139451729294,111528.28628347805,1,-0.3944428031899208
2025-02-03,235.1651917,55389.41277709273,237.12753889562572,111153.55591883176,1,-0.36408705919538686
2025-02-04,227.2034454,53687.12806986242,244.61239072132435,109263.9060292783,1,-1.973539516718764
2025-02-05,231.9765015,55797.38930469871,235.50640975003734,110429.34231933785,1,1.2442016003101395
2025-02-06,231.6476746,55136.57015803301,238.35625052145,110351.24131770193,1,-0.06913529102783256
2025-02-07,232.3950195,55353.53780223228,237.42170024797355,110529.15846108325,1,0.16725721351283826
2025-02-10,226.8247833,53940.67282763372,243.64436031422687,109205.25205817536,1,-1.2813013811212406
2025-02-11,227.0941162,54667.51989657616,240.44051401578182,109270.14592566385,1,0.06464479055156179
2025-02-12,232.052002,55825.98994333903,235.44323036192517,110461.06290617095,1,1.4134188332207818
2025-02-13,236.2916107,56228.315892206454,233.73885890179628,111458.84734529193,1,0.9669880723053348
2025-02-14,240.9402466,56815.40284873074,231.2997702088596,112544.8265213767,1,0.9527324158865964
2025-02-18,244.0027466,56980.60344099476,230.62204850069648,113253.01670168311,1,0.6231693789635708
2025-02-19,243.8730621,56596.21624259756,232.19665125466747,113222.72459343912,1,-0.033070130817829405
